,Anchor,Concept1,Concept2,Category,prompt,gpt_response,gpt_choice
156,Nail,Grinding disk,Tortoise,tool,"Answer using only only word - ""Grinding disk"" or ""Tortoise"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
157,Saw,Dinosaur,Shovel,tool,"Answer using only only word - ""Dinosaur"" or ""Shovel"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Shovel,Shovel
158,Axe,Gecko,Turtle,tool,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Turtle""",Turtle
159,Axe,Alligator,Oil can,tool,"Answer using only only word - ""Alligator"" or ""Oil can"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Alligator,Alligator
160,Knife,Anvil,Paint brush,tool,"Answer using only only word - ""Anvil"" or ""Paint brush"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Anvil""",Anvil
161,Blindworm,Lawn Mower,Lizard,reptile,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","lawn mower""",fill manually
162,Chameleon,Anvil,Vacuum,reptile,"Answer using only only word - ""Anvil"" or ""Vacuum"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Anvil""",Anvil
163,Boa python,Chisel,Grinding disk,reptile,"Answer using only only word - ""Chisel"" or ""Grinding disk"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",abrasiveness,fill manually
164,Snake,Crocodile,Lawn Mower,reptile,"Answer using only only word - ""Crocodile"" or ""Lawn Mower"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Crocodile,Crocodile
165,Oil can,Caiman,Chisel,tool,"Answer using only only word - ""Caiman"" or ""Chisel"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Caiman""",Caiman
166,Paint brush,Crocodile,Turtle,tool,"Answer using only only word - ""Crocodile"" or ""Turtle"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",a crocodile,fill manually
167,Caiman,Gecko,Vacuum,reptile,"Answer using only only word - ""Gecko"" or ""Vacuum"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Caiman""",Fill manually
168,Oil can,Cobra,Salamander,tool,"Answer using only only word - ""Cobra"" or ""Salamander"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Cobra,Cobra
169,Nail,Dinosaur,Toad,tool,"Answer using only only word - ""Dinosaur"" or ""Toad"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
170,Salamander,Blindworm,Hammer,reptile,"Answer using only only word - ""Blindworm"" or ""Hammer"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Hammer""",Hammer
171,Oil can,Alligator,Paint brush,tool,"Answer using only only word - ""Alligator"" or ""Paint brush"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Alligator""",Alligator
172,Hammer,Oil can,Snake,tool,"Answer using only only word - ""Oil can"" or ""Snake"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Oil can""",Oil can
173,Vacuum,Boa python,Shovel,tool,"Answer using only only word - ""Boa python"" or ""Shovel"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",shovel,fill manually
174,Dinosaur,Chisel,Paint brush,reptile,"Answer using only only word - ""Chisel"" or ""Paint brush"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",a dinosaur,fill manually
175,Turtle,Axe,Hammer,reptile,"Answer using only only word - ""Axe"" or ""Hammer"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Hammer""",Hammer
176,Oil can,Cobra,Grinding disk,tool,"Answer using only only word - ""Cobra"" or ""Grinding disk"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Cobra,Cobra
177,Nail,Anvil,Chisel,tool,"Answer using only only word - ""Anvil"" or ""Chisel"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Anvil""",Anvil
178,Hammer,Blindworm,Toad,tool,"Answer using only only word - ""Blindworm"" or ""Toad"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",Toad,Toad
179,Toad,Blindworm,Cobra,reptile,"Answer using only only word - ""Blindworm"" or ""Cobra"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Blindworm,Blindworm
180,Salamander,Snake,Turtle,reptile,"Answer using only only word - ""Snake"" or ""Turtle"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Snake""",Snake
181,Saw,Anvil,Snake,tool,"Answer using only only word - ""Anvil"" or ""Snake"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Anvil""",Anvil
182,Chameleon,Blindworm,Boa python,reptile,"Answer using only only word - ""Blindworm"" or ""Boa python"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",blindworm,fill manually
183,Crocodile,Dinosaur,Vacuum,reptile,"Answer using only only word - ""Dinosaur"" or ""Vacuum"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","dinosaurs""",fill manually
184,Hammer,Alligator,Nail,tool,"Answer using only only word - ""Alligator"" or ""Nail"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",nail,fill manually
185,Snake,Spanner,Vacuum,reptile,"Answer using only only word - ""Spanner"" or ""Vacuum"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Spanner,Spanner
186,Anvil,Chameleon,Dinosaur,tool,"Answer using only only word - ""Chameleon"" or ""Dinosaur"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Chameleon""",Chameleon
187,Tortoise,Hammer,Screwdriver,reptile,"Answer using only only word - ""Hammer"" or ""Screwdriver"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Hammer""",Hammer
188,Chisel,Salamander,Screwdriver,tool,"Answer using only only word - ""Salamander"" or ""Screwdriver"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Screwdriver""",Screwdriver
189,Spanner,Saw,Screwdriver,tool,"Answer using only only word - ""Saw"" or ""Screwdriver"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Screwdriver,Screwdriver
190,Shovel,Knife,Oil can,tool,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Oil can""",Oil can
191,Shovel,Blindworm,Gecko,tool,"Answer using only only word - ""Blindworm"" or ""Gecko"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Blindworm,Blindworm
192,Spanner,Caiman,Screwdriver,tool,"Answer using only only word - ""Caiman"" or ""Screwdriver"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?","Screwdriver""",Screwdriver
193,Paint brush,Caiman,Crocodile,tool,"Answer using only only word - ""Caiman"" or ""Crocodile"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",Caiman,Caiman
194,Anvil,Alligator,Boa python,tool,"Answer using only only word - ""Alligator"" or ""Boa python"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",alligator,fill manually
195,Boa python,Hammer,Toad,reptile,"Answer using only only word - ""Hammer"" or ""Toad"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",a frog,fill manually
196,Gecko,Shovel,Tortoise,reptile,"Answer using only only word - ""Shovel"" or ""Tortoise"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","Shovel""",Shovel
197,Nail,Crocodile,Spanner,tool,"Answer using only only word - ""Crocodile"" or ""Spanner"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Spanner""",Spanner
198,Crocodile,Shovel,Snake,reptile,"Answer using only only word - ""Shovel"" or ""Snake"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Shovel""",Shovel
199,Turtle,Snake,Vacuum,reptile,"Answer using only only word - ""Snake"" or ""Vacuum"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",Vacuum,Vacuum
200,Gecko,Hammer,Oil can,reptile,"Answer using only only word - ""Hammer"" or ""Oil can"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Hammer,Hammer
201,Blindworm,Gecko,Nail,reptile,"Answer using only only word - ""Gecko"" or ""Nail"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Nail,Nail
202,Anvil,Paint brush,Salamander,tool,"Answer using only only word - ""Paint brush"" or ""Salamander"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Salamander""",Salamander
203,Snake,Anvil,Lawn Mower,reptile,"Answer using only only word - ""Anvil"" or ""Lawn Mower"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Anvil""",Anvil
204,Screwdriver,Blindworm,Grinding disk,tool,"Answer using only only word - ""Blindworm"" or ""Grinding disk"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","S""",fill manually
205,Boa python,Caiman,Chameleon,reptile,"Answer using only only word - ""Caiman"" or ""Chameleon"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",the shape of a frog,fill manually
206,Gecko,Cobra,Spanner,reptile,"Answer using only only word - ""Cobra"" or ""Spanner"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Spanner,Spanner
207,Chameleon,Dinosaur,Shovel,reptile,"Answer using only only word - ""Dinosaur"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Shovel""",Shovel
208,Tortoise,Alligator,Lizard,reptile,"Answer using only only word - ""Alligator"" or ""Lizard"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Alligator""",Alligator
209,Paint brush,Boa python,Caiman,tool,"Answer using only only word - ""Boa python"" or ""Caiman"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",reptile,fill manually
210,Caiman,Hammer,Turtle,reptile,"Answer using only only word - ""Hammer"" or ""Turtle"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Hammer""",Hammer
211,Knife,Crocodile,Spanner,tool,"Answer using only only word - ""Crocodile"" or ""Spanner"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","kn""",fill manually
212,Snake,Alligator,Chisel,reptile,"Answer using only only word - ""Alligator"" or ""Chisel"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Alligator""",Alligator
213,Lizard,Axe,Nail,reptile,"Answer using only only word - ""Axe"" or ""Nail"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?",Axe,Axe
214,Chisel,Lawn Mower,Oil can,tool,"Answer using only only word - ""Lawn Mower"" or ""Oil can"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Ch""",fill manually
215,Knife,Anvil,Shovel,tool,"Answer using only only word - ""Anvil"" or ""Shovel"" and not ""Knife"".Which is more similar in meaning to ""Knife""?",Anvil,Anvil
216,Chisel,Caiman,Spanner,tool,"Answer using only only word - ""Caiman"" or ""Spanner"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Caiman""",Caiman
217,Blindworm,Boa python,Grinding disk,reptile,"Answer using only only word - ""Boa python"" or ""Grinding disk"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",grinding disk,fill manually
218,Shovel,Oil can,Salamander,tool,"Answer using only only word - ""Oil can"" or ""Salamander"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Oil can,Oil can
219,Chisel,Oil can,Toad,tool,"Answer using only only word - ""Oil can"" or ""Toad"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Toad""",Toad
220,Nail,Blindworm,Grinding disk,tool,"Answer using only only word - ""Blindworm"" or ""Grinding disk"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",Blindworm,Blindworm
221,Cobra,Chameleon,Dinosaur,reptile,"Answer using only only word - ""Chameleon"" or ""Dinosaur"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","Chameleon""",Chameleon
222,Blindworm,Paint brush,Shovel,reptile,"Answer using only only word - ""Paint brush"" or ""Shovel"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Shovel""",Shovel
223,Tortoise,Dinosaur,Toad,reptile,"Answer using only only word - ""Dinosaur"" or ""Toad"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","dinosaurs""",fill manually
224,Grinding disk,Chisel,Lizard,tool,"Answer using only only word - ""Chisel"" or ""Lizard"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","G""",fill manually
225,Oil can,Hammer,Paint brush,tool,"Answer using only only word - ""Hammer"" or ""Paint brush"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Paint brush""",Paint brush
226,Turtle,Alligator,Shovel,reptile,"Answer using only only word - ""Alligator"" or ""Shovel"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Shovel""",Shovel
227,Saw,Anvil,Chisel,tool,"Answer using only only word - ""Anvil"" or ""Chisel"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Anvil""",Anvil
228,Vacuum,Axe,Gecko,tool,"Answer using only only word - ""Axe"" or ""Gecko"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Axe,Axe
229,Nail,Anvil,Dinosaur,tool,"Answer using only only word - ""Anvil"" or ""Dinosaur"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
230,Oil can,Alligator,Tortoise,tool,"Answer using only only word - ""Alligator"" or ""Tortoise"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Alligator""",Alligator
231,Toad,Lawn Mower,Spanner,reptile,"Answer using only only word - ""Lawn Mower"" or ""Spanner"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Spanner,Spanner
232,Screwdriver,Chameleon,Snake,tool,"Answer using only only word - ""Chameleon"" or ""Snake"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Chameleon""",Chameleon
233,Cobra,Chameleon,Shovel,reptile,"Answer using only only word - ""Chameleon"" or ""Shovel"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Shovel,Shovel
234,Dinosaur,Knife,Spanner,reptile,"Answer using only only word - ""Knife"" or ""Spanner"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Di""",fill manually
235,Snake,Anvil,Paint brush,reptile,"Answer using only only word - ""Anvil"" or ""Paint brush"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Anvil""",Anvil
236,Knife,Grinding disk,Vacuum,tool,"Answer using only only word - ""Grinding disk"" or ""Vacuum"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Grinding disk""",Grinding disk
237,Boa python,Hammer,Paint brush,reptile,"Answer using only only word - ""Hammer"" or ""Paint brush"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",a hammer,fill manually
238,Spanner,Boa python,Tortoise,tool,"Answer using only only word - ""Boa python"" or ""Tortoise"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Boa python,Boa python
239,Spanner,Boa python,Shovel,tool,"Answer using only only word - ""Boa python"" or ""Shovel"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?","Boa python""",Boa python
240,Alligator,Caiman,Toad,reptile,"Answer using only only word - ""Caiman"" or ""Toad"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Caiman""",Caiman
241,Cobra,Chisel,Paint brush,reptile,"Answer using only only word - ""Chisel"" or ""Paint brush"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","Paint brush""",Paint brush
242,Nail,Anvil,Lizard,tool,"Answer using only only word - ""Anvil"" or ""Lizard"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Anvil""",Anvil
243,Snake,Dinosaur,Screwdriver,reptile,"Answer using only only word - ""Dinosaur"" or ""Screwdriver"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",dinosaur,fill manually
244,Lizard,Cobra,Crocodile,reptile,"Answer using only only word - ""Cobra"" or ""Crocodile"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Cobra""",Cobra
245,Lawn Mower,Chameleon,Saw,tool,"Answer using only only word - ""Chameleon"" or ""Saw"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Chameleon""",Chameleon
246,Toad,Caiman,Chameleon,reptile,"Answer using only only word - ""Caiman"" or ""Chameleon"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Toad""",Fill manually
